# tNR chi-squared and noise-corrected delta^2 (per-type reference)
# chi2  = mean((R-R_ref)^2 / (dR^2 + dR_ref^2))     (baseline 1)
# delta2 = mean(max(0, (R-R_ref)^2 - dR^2 - dR_ref^2) / R_ref^2)
# source_dir: jen-apr2025/data/tNR/reduced
# json: jen-apr2025/data/tNR/reduced/r218389_eis_reduction.json
# n_points: 116
# time_s	chi2	delta2	interval_type	label
0.000	0.00000000e+00	0.00000000e+00	hold	hold_initial_0
30.000	1.17504293e+00	8.83248286e-02	hold	hold_initial_1
60.000	1.02990974e+00	4.88618500e-02	hold	hold_initial_2
90.000	9.39428900e-01	6.00636309e-02	hold	hold_initial_3
120.000	1.14128503e+00	3.00379340e-02	hold	hold_initial_4
150.000	1.00642960e+00	3.99246375e-02	hold	hold_initial_5
180.000	1.12525236e+00	4.88738308e-02	hold	hold_initial_6
210.000	1.00131867e+00	4.05474076e-02	hold	hold_initial_7
240.000	1.21322322e+00	7.05641044e-02	hold	hold_initial_8
270.000	1.26052662e+00	5.06632845e-02	hold	hold_initial_9
300.000	9.79001388e-01	4.04510304e-02	hold	hold_initial_10
330.000	9.82558787e-01	4.74323260e-02	hold	hold_initial_11
360.000	1.07255668e+00	4.69310541e-02	hold	hold_initial_12
390.000	1.13813238e+00	5.86227836e-02	hold	hold_initial_13
420.000	1.05200777e+00	4.72995261e-02	hold	hold_initial_14
450.000	1.01517670e+00	4.80316690e-02	hold	hold_initial_15
480.000	1.16957870e+00	5.98089226e-02	hold	hold_initial_16
507.962	0.00000000e+00	0.00000000e+00	eis	sequence_1_eis_1
589.841	9.90736105e-01	3.99576986e-02	hold	hold_gap_1_0
619.841	1.06935554e+00	5.14902246e-02	hold	hold_gap_1_1
649.841	1.14802194e+00	5.23629293e-02	hold	hold_gap_1_2
679.841	1.11360410e+00	7.28006748e-02	hold	hold_gap_1_3
709.841	1.07701027e+00	3.78346704e-02	hold	hold_gap_1_4
739.841	1.23132681e+00	4.54805913e-02	hold	hold_gap_1_5
772.144	1.01471335e+00	8.20698396e-03	eis	sequence_2_eis_2
854.369	1.05381246e+00	3.79730489e-02	hold	hold_gap_2_0
884.369	1.08294835e+00	4.98544483e-02	hold	hold_gap_2_1
914.369	1.23508718e+00	4.39090717e-02	hold	hold_gap_2_2
944.369	1.21117561e+00	6.71136674e-02	hold	hold_gap_2_3
974.369	1.10801933e+00	4.20778610e-02	hold	hold_gap_2_4
1004.369	1.14745731e+00	4.22138349e-02	hold	hold_gap_2_5
1036.352	1.07074870e+00	1.49658469e-02	eis	sequence_3_eis_3
1119.778	1.34647299e+00	4.93756646e-02	hold	hold_gap_3_0
1149.778	1.26160494e+00	5.25817994e-02	hold	hold_gap_3_1
1179.778	1.31261247e+00	6.33981984e-02	hold	hold_gap_3_2
1209.778	1.47561833e+00	7.29564709e-02	hold	hold_gap_3_3
1239.778	1.43048118e+00	9.47155624e-02	hold	hold_gap_3_4
1269.778	1.34199360e+00	4.28583289e-02	hold	hold_gap_3_5
1302.081	1.54574512e+00	1.97562112e-02	eis	sequence_4_eis_4
1383.840	1.47667716e+00	8.13172982e-02	hold	hold_gap_4_0
