"M0 z","M0 rho 68 percent lower","M0 rho 68 percent upper","M0 rho 95 percent lower","M0 rho 95 percent upper","M0 rho best","M1 z","M1 rho 68 percent lower","M1 rho 68 percent upper","M1 rho 95 percent lower","M1 rho 95 percent upper","M1 rho best","M2 z","M2 rho 68 percent lower","M2 rho 68 percent upper","M2 rho 95 percent lower","M2 rho 95 percent upper","M2 rho best"
-30.3278,5.87039,5.88742,5.87523,5.88332,5.88158,-62.0099,5.87103,5.88797,5.87594,5.88388,5.88213,-50.4481,5.87134,5.88844,5.87622,5.88428,5.88247
-27.2207,5.86906,5.88624,5.87386,5.88189,5.88026,-58.5527,5.87103,5.88796,5.87594,5.88388,5.88213,-47.0184,5.87134,5.88844,5.87622,5.88428,5.88247
-24.1137,5.86467,5.88277,5.86961,5.87775,5.87614,-55.0954,5.87103,5.88760,5.87577,5.88375,5.88213,-43.5888,5.87134,5.88844,5.87607,5.88428,5.88247
-21.0067,5.85158,5.87587,5.85960,5.87023,5.86719,-51.6381,5.87054,5.88687,5.87523,5.88313,5.88162,-40.1591,5.87134,5.88844,5.87539,5.88428,5.88247
-17.8996,5.82335,5.86322,5.83953,5.85747,5.84957,-48.1808,5.86956,5.88583,5.87425,5.88199,5.88059,-36.7295,5.87132,5.88840,5.87479,5.88428,5.88247
-14.7926,5.77306,5.84318,5.80359,5.83566,5.81820,-44.7235,5.86792,5.88408,5.87249,5.88026,5.87888,-33.2998,5.86905,5.88827,5.87440,5.88414,5.88247
-11.6856,5.69141,5.81211,5.74188,5.80249,5.76766,-41.2662,5.86531,5.88128,5.86951,5.87770,5.87615,-29.8702,5.86817,5.88810,5.87295,5.88335,5.88230
-8.57852,5.57624,5.76621,5.65286,5.75448,5.69405,-37.8089,5.86129,5.87694,5.86551,5.87415,5.87194,-26.4405,5.86456,5.88714,5.87024,5.88193,5.88121
-5.47149,5.43923,5.70295,5.53920,5.68923,5.59708,-34.3517,5.85530,5.87154,5.85926,5.86864,5.86569,-23.0109,5.85859,5.88497,5.86624,5.87910,5.87865
-2.36445,5.29752,5.62210,5.40897,5.60309,5.48167,-30.8944,5.84652,5.86454,5.85016,5.86123,5.85673,-19.5812,5.84999,5.88056,5.86039,5.87443,5.87330
0.742582,5.17032,5.52660,5.27392,5.50049,5.35771,-27.4371,5.83109,5.85480,5.83629,5.85199,5.84435,-16.1516,5.83853,5.87245,5.84945,5.86710,5.86325
3.84962,5.07279,5.41815,5.15746,5.38662,5.23799,-23.9798,5.81046,5.84318,5.81921,5.83981,5.82784,-12.7219,5.81862,5.86257,5.83374,5.85570,5.84636
6.95665,5.01128,5.30580,5.06751,5.27197,5.13495,-20.5225,5.78340,5.82792,5.79831,5.82349,5.80662,-9.29230,5.77756,5.84629,5.81564,5.83882,5.82094
10.0637,4.98136,5.19598,5.01267,5.16313,5.05781,-17.0652,5.74933,5.80968,5.77123,5.80409,5.78030,-5.86265,5.72820,5.82340,5.78664,5.81513,5.78668
13.1707,4.96003,5.10745,4.98079,5.07099,5.01140,-13.6079,5.70972,5.78781,5.73842,5.78167,5.74883,-2.43300,5.67937,5.79557,5.75179,5.78901,5.74531
