"M0 z","M0 rho 68 percent lower","M0 rho 68 percent upper","M0 rho 95 percent lower","M0 rho 95 percent upper","M0 rho best","M1 z","M1 rho 68 percent lower","M1 rho 68 percent upper","M1 rho 95 percent lower","M1 rho 95 percent upper","M1 rho best","M2 z","M2 rho 68 percent lower","M2 rho 68 percent upper","M2 rho 95 percent lower","M2 rho 95 percent upper","M2 rho best","M3 z","M3 rho 68 percent lower","M3 rho 68 percent upper","M3 rho 95 percent lower","M3 rho 95 percent upper","M3 rho best","M4 z","M4 rho 68 percent lower","M4 rho 68 percent upper","M4 rho 95 percent lower","M4 rho 95 percent upper","M4 rho best","M5 z","M5 rho 68 percent lower","M5 rho 68 percent upper","M5 rho 95 percent lower","M5 rho 95 percent upper","M5 rho best"
-536.819,6.03319,6.05973,6.02982,6.06488,6.05279,-536.819,6.03319,6.05973,6.02982,6.06488,6.05279,-536.819,6.03319,6.05973,6.02982,6.06488,6.05279,-547.047,6.03311,6.05974,6.02979,6.06474,6.05260,-547.047,6.03311,6.05974,6.02979,6.06474,6.05260,-547.047,6.03311,6.05974,6.02979,6.06474,6.05260
-534.071,6.03319,6.05973,6.02982,6.06481,6.05279,-534.071,6.03319,6.05973,6.02982,6.06481,6.05279,-534.071,6.03319,6.05973,6.02982,6.06481,6.05279,-544.248,6.03311,6.05966,6.02979,6.06474,6.05260,-544.248,6.03311,6.05966,6.02979,6.06474,6.05260,-544.248,6.03311,6.05966,6.02979,6.06474,6.05260
-531.323,6.03319,6.05973,6.02982,6.06459,6.05279,-531.323,6.03319,6.05973,6.02982,6.06459,6.05279,-531.323,6.03319,6.05973,6.02982,6.06459,6.05279,-541.448,6.03311,6.05945,6.02979,6.06466,6.05260,-541.448,6.03311,6.05945,6.02979,6.06466,6.05260,-541.448,6.03311,6.05945,6.02979,6.06466,6.05260
-528.575,6.03319,6.05971,6.02975,6.06424,6.05279,-528.575,6.03319,6.05971,6.02975,6.06424,6.05279,-528.575,6.03319,6.05971,6.02975,6.06424,6.05279,-538.649,6.03311,6.05921,6.02971,6.06441,6.05260,-538.649,6.03311,6.05921,6.02971,6.06441,6.05260,-538.649,6.03311,6.05921,6.02971,6.06441,6.05260
-525.827,6.03319,6.05951,6.02946,6.06375,6.05251,-525.827,6.03319,6.05951,6.02946,6.06375,6.05251,-525.827,6.03319,6.05951,6.02946,6.06375,6.05251,-535.849,6.03311,6.05887,6.02951,6.06399,6.05260,-535.849,6.03311,6.05887,6.02951,6.06399,6.05260,-535.849,6.03311,6.05887,6.02951,6.06399,6.05260
-523.079,6.03308,6.05921,6.02895,6.06366,6.05206,-523.079,6.03308,6.05921,6.02895,6.06366,6.05206,-523.079,6.03308,6.05921,6.02895,6.06366,6.05206,-533.050,6.03311,6.05846,6.02901,6.06341,6.05260,-533.050,6.03311,6.05846,6.02901,6.06341,6.05260,-533.050,6.03311,6.05846,6.02901,6.06341,6.05260
-520.331,6.03272,6.05863,6.02821,6.06326,6.05136,-520.331,6.03272,6.05863,6.02821,6.06326,6.05136,-520.331,6.03272,6.05863,6.02821,6.06326,6.05136,-530.251,6.03300,6.05754,6.02828,6.06262,6.05234,-530.251,6.03300,6.05754,6.02828,6.06262,6.05234,-530.251,6.03300,6.05754,6.02828,6.06262,6.05234
-517.583,6.03208,6.05742,6.02718,6.06257,6.05033,-517.583,6.03208,6.05742,6.02718,6.06257,6.05033,-517.583,6.03208,6.05742,6.02718,6.06257,6.05033,-527.451,6.03265,6.05585,6.02715,6.06147,6.05176,-527.451,6.03265,6.05585,6.02715,6.06147,6.05176,-527.451,6.03265,6.05585,6.02715,6.06147,6.05176
-514.835,6.03112,6.05575,6.02564,6.06157,6.04884,-514.835,6.03112,6.05575,6.02564,6.06157,6.04884,-514.835,6.03112,6.05575,6.02564,6.06157,6.04884,-524.652,6.03159,6.05441,6.02533,6.06042,6.05086,-524.652,6.03159,6.05441,6.02533,6.06042,6.05086,-524.652,6.03159,6.05441,6.02533,6.06042,6.05086
-512.087,6.02990,6.05356,6.02348,6.06016,6.04673,-512.087,6.02990,6.05356,6.02348,6.06016,6.04673,-512.087,6.02990,6.05356,6.02348,6.06016,6.04673,-521.852,6.02998,6.05344,6.02295,6.05905,6.04950,-521.852,6.02998,6.05344,6.02295,6.05905,6.04950,-521.852,6.02998,6.05344,6.02295,6.05905,6.04950
-509.339,6.02807,6.05020,6.02063,6.05821,6.04381,-509.339,6.02807,6.05020,6.02063,6.05821,6.04381,-509.339,6.02807,6.05020,6.02063,6.05821,6.04381,-519.053,6.02836,6.05123,6.01984,6.05708,6.04752,-519.053,6.02836,6.05123,6.01984,6.05708,6.04752,-519.053,6.02836,6.05123,6.01984,6.05708,6.04752
-506.590,6.02586,6.04586,6.01692,6.05556,6.03988,-506.590,6.02586,6.04586,6.01692,6.05556,6.03988,-506.590,6.02586,6.04586,6.01692,6.05556,6.03988,-516.253,6.02606,6.04712,6.01588,6.05430,6.04467,-516.253,6.02606,6.04712,6.01588,6.05430,6.04467,-516.253,6.02606,6.04712,6.01588,6.05430,6.04467
-503.842,6.02117,6.04153,6.01196,6.05171,6.03470,-503.842,6.02117,6.04153,6.01196,6.05171,6.03470,-503.842,6.02117,6.04153,6.01196,6.05171,6.03470,-513.454,6.02256,6.04297,6.01087,6.05046,6.04070,-513.454,6.02256,6.04297,6.01087,6.05046,6.04070,-513.454,6.02256,6.04297,6.01087,6.05046,6.04070
-501.094,6.01484,6.03644,6.00571,6.04648,6.02806,-501.094,6.01484,6.03644,6.00571,6.04648,6.02806,-501.094,6.01484,6.03644,6.00571,6.04648,6.02806,-510.654,6.01627,6.03801,6.00466,6.04575,6.03531,-510.654,6.01627,6.03801,6.00466,6.04575,6.03531,-510.654,6.01627,6.03801,6.00466,6.04575,6.03531
-498.346,6.00707,6.02980,5.99825,6.03971,6.01974,-498.346,6.00707,6.02980,5.99825,6.03971,6.01974,-498.346,6.00707,6.02980,5.99825,6.03971,6.01974,-507.855,6.00912,6.03198,5.99705,6.03959,6.02815,-507.855,6.00912,6.03198,5.99705,6.03959,6.02815,-507.855,6.00912,6.03198,5.99705,6.03959,6.02815
-495.598,5.99783,6.02211,5.98928,6.03230,6.00956,-495.598,5.99783,6.02211,5.98928,6.03230,6.00956,-495.598,5.99783,6.02211,5.98928,6.03230,6.00956,-505.055,6.00005,6.02322,5.98787,6.03129,6.01890,-505.055,6.00005,6.02322,5.98787,6.03129,6.01890,-505.055,6.00005,6.02322,5.98787,6.03129,6.01890
-492.850,5.98701,6.01238,5.97860,6.02337,5.99741,-492.850,5.98701,6.01238,5.97860,6.02337,5.99741,-492.850,5.98701,6.01238,5.97860,6.02337,5.99741,-502.256,5.98792,6.01287,5.97698,6.02043,6.00724,-502.256,5.98792,6.01287,5.97698,6.02043,6.00724,-502.256,5.98792,6.01287,5.97698,6.02043,6.00724
