# tNR chi-squared and noise-corrected delta^2 (per-type reference)
# chi2  = mean((R-R_ref)^2 / (dR^2 + dR_ref^2))     (baseline 1)
# delta2 = mean(max(0, (R-R_ref)^2 - dR^2 - dR_ref^2) / R_ref^2)
# source_dir: jen-oct2025/data/tNR/reduced
# json: jen-oct2025/data/tNR/reduced/r223995_eis_reduction.json
# n_points: 57
# time_s	chi2	delta2	interval_type	label
0.000	0.00000000e+00	0.00000000e+00	eis	Sample9_CuOx_D2O_NaHCO3_02_PEIS_C01_step0_p0p00V_Eoc
83.342	0.00000000e+00	0.00000000e+00	hold	hold_step1_0
113.342	1.00856834e+00	4.73918475e-02	hold	hold_step1_1
143.342	9.32208721e-01	5.31510522e-02	hold	hold_step1_2
173.342	8.61072359e-01	1.73387450e-02	hold	hold_step1_3
203.342	9.95473960e-01	6.07939293e-02	hold	hold_step1_4
233.342	1.01707754e+00	2.82386992e-02	hold	hold_step1_5
265.325	8.11995408e-01	8.11412289e-03	eis	Sample9_CuOx_D2O_NaHCO3_02_PEIS_C01_step1_m0p10V_Ref
348.172	9.71141831e-01	2.35707722e-02	hold	hold_step2_0
378.172	8.73864881e-01	3.37618834e-02	hold	hold_step2_1
408.172	9.43131361e-01	4.03398977e-02	hold	hold_step2_2
438.172	9.62712475e-01	5.53180626e-02	hold	hold_step2_3
468.172	9.45164205e-01	2.54400137e-02	hold	hold_step2_4
498.172	1.04849116e+00	5.54988923e-02	hold	hold_step2_5
529.996	8.91606029e-01	9.26432865e-03	eis	Sample9_CuOx_D2O_NaHCO3_02_PEIS_C01_step2_m0p10V_Ref
612.702	8.85077978e-01	2.35341491e-02	hold	hold_step3_0
642.702	7.72689631e-01	3.47293541e-02	hold	hold_step3_1
672.702	1.04779384e+00	3.73144471e-02	hold	hold_step3_2
702.702	8.48718730e-01	3.88741619e-02	hold	hold_step3_3
732.702	1.04840399e+00	4.23364217e-02	hold	hold_step3_4
762.702	9.32753476e-01	4.23473644e-02	hold	hold_step3_5
794.015	9.22934499e-01	1.03479041e-02	eis	Sample9_CuOx_D2O_NaHCO3_02_PEIS_C01_step3_m0p20V_Ref
876.897	8.53785206e-01	2.05613270e-02	hold	hold_step4_0
906.897	8.30220220e-01	3.14125969e-02	hold	hold_step4_1
936.897	9.08314135e-01	2.07878443e-02	hold	hold_step4_2
966.897	9.40848399e-01	3.10090397e-02	hold	hold_step4_3
996.897	8.88424955e-01	4.48785512e-02	hold	hold_step4_4
1026.897	1.05218466e+00	3.44289916e-02	hold	hold_step4_5
1058.370	8.64894987e-01	9.61584290e-03	eis	Sample9_CuOx_D2O_NaHCO3_02_PEIS_C01_step4_m0p20V_Ref
1141.121	8.62129347e-01	2.23512823e-02	hold	hold_step5_0
1171.121	9.18314140e-01	3.23762636e-02	hold	hold_step5_1
1201.121	9.43838072e-01	4.65957237e-02	hold	hold_step5_2
1231.121	1.16156715e+00	4.85905238e-02	hold	hold_step5_3
1261.121	9.05723258e-01	2.97657735e-02	hold	hold_step5_4
1291.121	9.95874251e-01	5.10625055e-02	hold	hold_step5_5
1322.945	9.04231112e-01	9.52234433e-03	eis	Sample9_CuOx_D2O_NaHCO3_02_PEIS_C01_step5_m0p30V_Ref
1405.386	8.49157119e-01	2.52844296e-02	hold	hold_step6_0
1435.386	8.65394812e-01	3.18715489e-02	hold	hold_step6_1
1465.386	8.82678513e-01	2.84897981e-02	hold	hold_step6_2
1495.386	9.49271905e-01	2.75763047e-02	hold	hold_step6_3
1525.386	9.49558814e-01	4.32618001e-02	hold	hold_step6_4
1555.386	7.83640345e-01	3.28572751e-02	hold	hold_step6_5
1587.530	1.04406897e+00	1.18806997e-02	eis	Sample9_CuOx_D2O_NaHCO3_02_PEIS_C01_step6_m0p30V_Ref
1669.962	9.69525144e-01	5.03863730e-02	hold	hold_step7_0
1699.962	9.75857921e-01	6.83259167e-02	hold	hold_step7_1
1729.962	8.70723763e-01	2.74240691e-02	hold	hold_step7_2
1759.962	1.07366919e+00	4.63195825e-02	hold	hold_step7_3
1789.962	9.53897401e-01	4.55696983e-02	hold	hold_step7_4
1819.962	1.02870755e+00	3.39899971e-02	hold	hold_step7_5
1851.274	1.08484385e+00	1.12338638e-02	eis	Sample9_CuOx_D2O_NaHCO3_02_PEIS_C01_step7_m0p40V_Ref
1932.903	9.77989121e-01	3.34237576e-02	hold	hold_step8_0
1962.903	9.12217298e-01	5.45473927e-02	hold	hold_step8_1
1992.903	9.98638243e-01	2.97254699e-02	hold	hold_step8_2
2022.903	1.15743012e+00	3.25040591e-02	hold	hold_step8_3
2052.903	1.08163883e+00	3.65669067e-02	hold	hold_step8_4
2082.903	9.40791511e-01	5.44879436e-02	hold	hold_step8_5
2114.374	1.08045452e+00	1.28481238e-02	eis	Sample9_CuOx_D2O_NaHCO3_02_PEIS_C01_step8_m0p40V_Ref
